id,충전소명,주소,위도,경도,상태,이용제한,급속충전량,충전기타입
1,태화빌딩,서울특별시 종로구 인사동5길 29,37.5718,126.985,충전대기,,50,DC차데모+AC3상+DC콤보
2,부암동 주민센터,서울특별시 종로구 창의문로 145,37.5925,126.964,충전대기,,100,DC차데모+AC3상+DC콤보
3,서울역사박물관,서울특별시 종로구 새문안로 55,37.5713,126.97,충전대기,,200,DC콤보
4,서울역사박물관,서울특별시 종로구 새문안로 55,37.5713,126.97,충전대기,,200,DC콤보
5,서울경찰청,서울특별시 종로구 사직로8길 31,37.5745,126.973,상태미확인,,100,DC콤보
6,서울경찰청,서울특별시 종로구 사직로8길 31,37.5745,126.973,충전대기,,100,DC콤보
7,서울경찰청,서울특별시 종로구 사직로8길 31,37.5745,126.973,충전대기,,100,DC콤보
8,서울하나손해보험빌딩,서울특별시 종로구 창경궁로 117,37.5728,126.997,충전대기,,7,AC완속
9,서울하나손해보험빌딩,서울특별시 종로구 창경궁로 117,37.5728,126.997,충전대기,,7,AC완속
10,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전중,,100,DC콤보
11,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전대기,,100,DC콤보
12,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전대기,,100,DC콤보
13,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전대기,,100,DC콤보
14,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전중,,7,AC완속
15,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전대기,,7,AC완속
16,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전중,,7,AC완속
17,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전중,,7,AC완속
18,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전대기,,7,AC완속
19,워터 서울 광화문,서울특별시 종로구 종로1길 50,37.5746,126.979,충전대기,,7,AC완속
20,한국무역보험공사 종로,서울특별시 종로구 종로 14,37.5698,126.979,충전대기,,7,AC완속
21,한국무역보험공사 종로,서울특별시 종로구 종로 14,37.5698,126.979,충전대기,,7,AC완속
22,서울 종로구 맹학교,"서울 종로구 필운대로 97 (신교동, 국립서울맹학교)",37.5846,126.967,충전대기,,7,AC완속
23,종로구 명륜동 와룡공영주차장,"서울특별시 종로구 명륜길 26 (명륜3가, 명륜동 와룡공영주차장 및 문화센터)",37.5886,126.995,충전대기,,100,DC콤보
24,종로구 명륜동 와룡공영주차장,"서울특별시 종로구 명륜길 26 (명륜3가, 명륜동 와룡공영주차장 및 문화센터)",37.5886,126.995,충전대기,,100,DC콤보
25,종로구 북악팔각정,"서울특별시 종로구 북악산로 267 (평창동, 북악팔각정)",37.6016,126.981,충전대기,,7,AC완속
26,종로구 북악팔각정,"서울특별시 종로구 북악산로 267 (평창동, 북악팔각정)",37.6016,126.981,충전대기,,7,AC완속
27,종로구 명륜1가 공영주차장,"서울특별시 종로구 성균관로15길 10 (명륜1가, 명륜1가공영주차장)",37.5879,126.997,충전대기,,100,DC콤보
28,종로구 명륜1가 공영주차장,"서울특별시 종로구 성균관로15길 10 (명륜1가, 명륜1가공영주차장)",37.5879,126.997,충전대기,,100,DC콤보
29,종로구 이화공영주차장,서울특별시 종로구 율곡로19길 17-3,37.5766,127.006,충전대기,,100,DC콤보
30,종로구 이화공영주차장,서울특별시 종로구 율곡로19길 17-3,37.5766,127.006,충전대기,,100,DC콤보
31,종로구 창일 공영주차장,서울특별시 종로구 창신동 82,37.5749,127.015,충전대기,,100,DC콤보
32,종로구 창일 공영주차장,서울특별시 종로구 창신동 82,37.5749,127.015,충전대기,,100,DC콤보
33,종로구 창일 공영주차장,서울특별시 종로구 창신동 82,37.5749,127.015,충전대기,,100,DC콤보
34,종로구 창일 공영주차장,서울특별시 종로구 창신동 82,37.5749,127.015,충전대기,,100,DC콤보
35,종로구 창삼 공영주차장,서울특별시 종로구 창신동 23-346,37.5763,127.013,충전대기,,100,DC콤보
36,종로구 창삼 공영주차장,서울특별시 종로구 창신동 23-346,37.5763,127.013,충전대기,,100,DC콤보
37,종로 청하빌딩(시민개방충전소),서울특별시 종로구 자하문로 280,37.5987,126.962,충전대기,,7,AC완속
38,종로 청하빌딩(시민개방충전소),서울특별시 종로구 자하문로 280,37.5987,126.962,충전대기,,7,AC완속
39,종로 중앙성결교회(야외주차장),서울특별시 종로구 충신길 22,37.5739,127.008,충전대기,,7,AC완속
40,종로 중앙성결교회(야외주차장),서울특별시 종로구 충신길 22,37.5739,127.008,충전대기,,7,AC완속
41,광화문 로얄빌딩(B2F),서울특별시 종로구 새문안로5길 19,37.572,126.974,통신이상,,7,AC완속
